raw,error,OtherCorporationName,CorporationName,CorporationNameOrganization,CorporationNameAndCompany,CorporationNameBranchType,CorporationNameBranchIdentifier,CorporationCommitteeType,CorporationLegalType,ShortForm,ProxyFor,AKA
SOLOMON MCCOWN & CO.,,,SOLOMON MCCOWN,,& CO.,,,,,,,
SUPERNUTRITION,,,SUPERNUTRITION,,,,,,,,,
LATHAM & WATKINS LLP,,,LATHAM & WATKINS,,,,,,LLP,,,
DEBEVOISE & PLIMPTON,,,DEBEVOISE & PLIMPTON,,,,,,,,,
PARK & VELAYOS LLP,,,PARK & VELAYOS,,,,,,LLP,,,
JOSEPH MARTIN SALON,,,JOSEPH MARTIN SALON,,,,,,,,,
FEDERAL RESERVE BANK OF DALLAS,,,FEDERAL RESERVE BANK OF DALLAS,,,,,,,,,
LIEBER INSTITUTE,,,LIEBER,INSTITUTE,,,,,,,,
BANK OF AMERICA MERRILL LYNCH,,,BANK OF AMERICA MERRILL LYNCH,,,,,,,,,
MORGAN LEWIS,,,MORGAN LEWIS,,,,,,,,,
GEORGETOWN UNIVERSITY LAW SCHOOL,,,GEORGETOWN,UNIVERSITY LAW SCHOOL,,,,,,,,
SAFEWAY / ALBERTSONS,,,SAFEWAY ALBERTSONS,,,,,,,,,
MERION INVESTMENT MANAGEMENT LP,,,MERION INVESTMENT MANAGEMENT,,,,,,LP,,,
LEVICK,,,LEVICK,,,,,,,,,
PAUL,,,PAUL,,,,,,,,,
DELOITTE CONSULTING LLP,,,DELOITTE CONSULTING,,,,,,LLP,,,
PARADIGM,,,PARADIGM,,,,,,,,,
MUCH SHELIST,,,MUCH SHELIST,,,,,,,,,
DENHA HEALTH,,,DENHA HEALTH,,,,,,,,,
FORTRESS INVESTMENT GROUP,,,FORTRESS INVESTMENT,GROUP,,,,,,,,
CAROL CRABTREE DONOVAN,,,CAROL CRABTREE DONOVAN,,,,,,,,,
CALIFORNIA DEMOCRATIC PARTY,,,CALIFORNIA DEMOCRATIC,PARTY,,,,,,,,
TIERRA WEST APTS,,,TIERRA WEST APTS,,,,,,,,,
HARVARD,,,HARVARD,,,,,,,,,
KRAUT LAW GROUP,,,KRAUT LAW,GROUP,,,,,,,,
MEYER,,,MEYER,,,,,,,,,
COLUMBIA UNIVERSITY,,,COLUMBIA,UNIVERSITY,,,,,,,,
PATHWAYS HOME HEALTH AND HOSPICE,,,PATHWAYS HOME HEALTH AND HOSPICE,,,,,,,,,
SCF CONSULTING,,,SCF CONSULTING,,,,,,,,,
FSGE,,,FSGE,,,,,,,,,
LAWRENCE LIVERMORE NATIONAL LABORATORY,,,LAWRENCE LIVERMORE NATIONAL,LABORATORY,,,,,,,,
PWC,,,,,,,,,,PWC,,
PEDIATRIX MEDICAL GROUP,,,PEDIATRIX MEDICAL,GROUP,,,,,,,,
MICROSOFT CORPORATION,,,MICROSOFT,CORPORATION,,,,,,,,
FEDERAL EDUCATION ASSOCIATION,,,FEDERAL EDUCATION,ASSOCIATION,,,,,,,,
TIMOTHY JAYASUNDERA,,,TIMOTHY JAYASUNDERA,,,,,,,,,
STRUCTURAL GROUP,,,STRUCTURAL,GROUP,,,,,,,,
PADDLE8,,,PADDLE8,,,,,,,,,
BIRD MARELLA,,,BIRD MARELLA,,,,,,,,,
ROIZMAN DEVELOPMENT INC.,,,ROIZMAN DEVELOPMENT,,,,,,INC.,,,
SULLIVAN &  CROMWELL LLP,,,SULLIVAN & CROMWELL,,,,,,LLP,,,
SEVILLE CLASSICS INC.,,,SEVILLE CLASSICS,,,,,,INC.,,,
FARID SAADAT INC,,,FARID SAADAT,,,,,,INC,,,
DOMUS,,,DOMUS,,,,,,,,,
ICKES & ENRIGHT,,,ICKES & ENRIGHT,,,,,,,,,
FOLGER SHAKESPEARE LIBRARY,,,FOLGER SHAKESPEARE LIBRARY,,,,,,,,,
MCGREGOR INDUSTRIES,,,MCGREGOR INDUSTRIES,,,,,,,,,
PROMAXBDA,,,PROMAXBDA,,,,,,,,,
CARLETON COLLEGE,,,CARLETON COLLEGE,,,,,,,,,
SILVERTON PARTNERS,,,SILVERTON,PARTNERS,,,,,,,,
KIVA.ORG,,,KIVA.ORG,,,,,,,,,
BEATTY & WOZNIAK,,,BEATTY & WOZNIAK,,,,,,,,,
EVAMERE ENTERTAINMENT,,,EVAMERE ENTERTAINMENT,,,,,,,,,
ERNST & YOUNG LLP,,,ERNST & YOUNG,,,,,,LLP,,,
SKEO SOLUTIONS,,,SKEO SOLUTIONS,,,,,,,,,
L & E INTERNATIONAL SERVICES,,,L & E,INTERNATIONAL SERVICES,,,,,,,,
CADUCEUS OCCUPATIONAL MEDICINE,,,CADUCEUS OCCUPATIONAL MEDICINE,,,,,,,,,
FEDERAL COMMUNICATIONS COMMISSION,,,FEDERAL COMMUNICATIONS,COMMISSION,,,,,,,,
HOLY NAMES UNIVERSITY,,,HOLY NAMES,UNIVERSITY,,,,,,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
CATHOLIC HEALTH INITIATIVES,,,CATHOLIC HEALTH,INITIATIVES,,,,,,,,
COLLEGIATE SCHOOL,,,,COLLEGIATE SCHOOL,,,,,,,,
PROMONTORY FINANCIAL GROUP,,,PROMONTORY,FINANCIAL GROUP,,,,,,,,
HATTIE HILL ENTERPRISES,,,HATTIE HILL ENTERPRISES,,,,,,,,,
MGM,,,MGM,,,,,,,,,
HERMAN KAY COMPANY,,,HERMAN KAY,COMPANY,,,,,,,,
HAASCH LAW GROUP,,,HAASCH LAW,GROUP,,,,,,,,
MEDIMMUNE,,,MEDIMMUNE,,,,,,,,,
LICHTER,,,LICHTER,,,,,,,,,
FRIEDMAN & FEIGER,,,FRIEDMAN & FEIGER,,,,,,,,,
PITTSFIELD  CHARTER TOWNSHIP,,,PITTSFIELD CHARTER TOWNSHIP,,,,,,,,,
NASTAD,,,NASTAD,,,,,,,,,
GRACEFUL LIGHT ENTERTAINMENT,,,GRACEFUL LIGHT ENTERTAINMENT,,,,,,,,,
AUTOMOTIVE MECHANIC,,,AUTOMOTIVE MECHANIC,,,,,,,,,
OLD REPUBLIC INTERNATIONAL,,,OLD REPUBLIC,INTERNATIONAL,,,,,,,,
BALLARD SPAHR LLP,,,BALLARD SPAHR,,,,,,LLP,,,
JACKSON SQUARE AVIATION,,,JACKSON SQUARE AVIATION,,,,,,,,,
2 BROKE GIRLS,,,2 BROKE GIRLS,,,,,,,,,
WALTERS POWER INTERNATIONAL,,,WALTERS POWER,INTERNATIONAL,,,,,,,,
ROMAIN BUICK INC,,,ROMAIN BUICK,,,,,,INC,,,
U.S. DEPARTMENT OF HOUSING & URBAN DEV,,,U.S. DEPARTMENT OF HOUSING & URBAN DEV,,,,,,,,,
LIBERTY BUILDING COMPANY,,,LIBERTY BUILDING,COMPANY,,,,,,,,
LOS ALAMOS NATIONAL LABS,,,LOS ALAMOS NATIONAL LABS,,,,,,,,,
ST. JOSEPH'S UNIVERSITY,,,ST. JOSEPH'S,UNIVERSITY,,,,,,,,
SFAF,,,SFAF,,,,,,,,,
PEPSICO,,,PEPSICO,,,,,,,,,
K&L GATES LLP,,,K & L GATES LLP,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
WEIS REALTY,,,WEIS REALTY,,,,,,,,,
GUESS?,,,GUESS,,,,,,,,,
AMERICAN COLLEGE PERSONNEL ASSOCIATION,,,AMERICAN COLLEGE PERSONNEL,ASSOCIATION,,,,,,,,
SABER PARTNERS,,,SABER,PARTNERS,,,,,,,,
TOWER UROLOGY,,,TOWER UROLOGY,,,,,,,,,
EVERYTHING CAMPER,,,EVERYTHING CAMPER,,,,,,,,,
UC BERKELEY,,,UC BERKELEY,,,,,,,,,
MWI VETERINARY SUPPLY,,,MWI VETERINARY SUPPLY,,,,,,,,,
PRITZKER GROUP,,,PRITZKER,GROUP,,,,,,,,
RL FINANCIAL GROUP,,,RL FINANCIAL,GROUP,,,,,,,,
NASTAD,,,NASTAD,,,,,,,,,
WOUNDED WARRIOR PROJECT,,,WOUNDED WARRIOR PROJECT,,,,,,,,,
CREATIVE VISIONS FOUNDATION,,,CREATIVE VISIONS,FOUNDATION,,,,,,,,
MUNGER TOLLES & OLSON LLP,,,MUNGER TOLLES & OLSON,,,,,,LLP,,,
INFINITIONE,,,,INFINITIONE,,,,,,,,
MOUNT SINAI HOSPITAL,,,MOUNT SINAI,HOSPITAL,,,,,,,,
F & T GROUP STANFORD UNIVERSITY,,,F & T GROUP STANFORD,UNIVERSITY,,,,,,,,
CHICAGO URBAN LEAGUE,,,CHICAGO URBAN,LEAGUE,,,,,,,,
RUTGERS UNIVERSITY,,,RUTGERS UNIVERSITY,,,,,,,,,
DEBEVOISE & PLIMPTON,,,DEBEVOISE & PLIMPTON,,,,,,,,,
CALIFORNIA STATE POLYTECHNIC UNIVERSIT,,,CALIFORNIA STATE POLYTECHNIC UNIVERSIT,,,,,,,,,
GELBER GROUP,,,GELBER,GROUP,,,,,,,,
HOUSE OF REPRESENTATIVES,,,HOUSE OF REPRESENTATIVES,,,,,,,,,
KS AIR FORCE MSGT,,,KS AIR FORCE MSGT,,,,,,,,,
COMPANY.POLITICS,,,,COMPANY.POLITICS,,,,,,,,
ARTEMIS REAL ESTATE PARTNERS,,,ARTEMIS REAL ESTATE,PARTNERS,,,,,,,,
MCKENNA LONG & ALDRIDGE LLP,,,MCKENNA LONG & ALDRIDGE,,,,,,LLP,,,
COOK COUNTY GOVERNMENT,,,COOK COUNTY GOVERNMENT,,,,,,,,,
AMAZON,,,AMAZON,,,,,,,,,
STACY CLARK MARKETING LLC,,,STACY CLARK MARKETING,,,,,,LLC,,,
EVERNOTE CORPORATION,,,EVERNOTE,CORPORATION,,,,,,,,
H.P CARRIERS,,,H.P CARRIERS,,,,,,,,,
UVM HEALTH NETWORK,,,UVM HEALTH NETWORK,,,,,,,,,
TANG'S REALTY INC.,,,TANG'S REALTY,,,,,,INC.,,,
MILLER GLOBAL PROPERTIES,,,MILLER GLOBAL PROPERTIES,,,,,,,,,
HBO,,,HBO,,,,,,,,,
DEPARTMENT OF EDUCATION,,,OF EDUCATION,DEPARTMENT,,,,,,,,
RIVERDALE INTERNATIONAL,,,RIVERDALE,INTERNATIONAL,,,,,,,,
LATHAM & WATKINS LLP,,,LATHAM & WATKINS,,,,,,LLP,,,
SELECTNY,,,SELECTNY,,,,,,,,,
STATE OF INDIANA,,,STATE OF INDIANA,,,,,,,,,
NYS UNIFIED COURT SYSTEM,,,NYS UNIFIED COURT SYSTEM,,,,,,,,,
THE MENKITI GROUP,,,THE MENKITI,GROUP,,,,,,,,
JOHNS HOPKINS UNIVERSITY,,,JOHNS HOPKINS,UNIVERSITY,,,,,,,,
NIMA CAPITAL,,,NIMA CAPITAL,,,,,,,,,
U.S. GOVERNMENT,,,U.S. GOVERNMENT,,,,,,,,,
HARRIS PENN LOWRY LLP,,,HARRIS PENN LOWRY,,,,,,LLP,,,
BALLARD SPAHR LLP,,,BALLARD SPAHR,,,,,,LLP,,,
ENGLANDER KNABE & ALLEN,,,ENGLANDER KNABE & ALLEN,,,,,,,,,
SELF EMPLOYED,,,SELF EMPLOYED,,,,,,,,,
SUNY DOWNSTATE MEDICAL CENTER,,,SUNY DOWNSTATE,MEDICAL CENTER,,,,,,,,
ARGEN CORPORATION,,,ARGEN,CORPORATION,,,,,,,,
MORGAN LEWIS & BOCKIUS LLP,,,MORGAN LEWIS & BOCKIUS,,,,,,LLP,,,
MARTA,,,MARTA,,,,,,,,,
AARP,,,AARP,,,,,,,,,
DGB TECHNOLOGY,,,DGB TECHNOLOGY,,,,,,,,,
MOUNT SINAI BETH ISRAEL,,,MOUNT SINAI BETH ISRAEL,,,,,,,,,
DIB & FAGAN PC,,,DIB & FAGAN,,,,,,PC,,,
COOPER GENERAL GLOBAL SERVICES,,,COOPER GENERAL GLOBAL SERVICES,,,,,,,,,
WEST FLAGLER,,,WEST FLAGLER,,,,,,,,,
SULLIVAN & CROMWELL LLP,,,SULLIVAN & CROMWELL,,,,,,LLP,,,
UNITED CAPITAL,,,UNITED CAPITAL,,,,,,,,,
HEALTHNET,,,HEALTHNET,,,,,,,,,
CLASSICO CORPORATION,,,CLASSICO,CORPORATION,,,,,,,,
BECNEL LAW FIRM,,,BECNEL,LAW FIRM,,,,,,,,
INACOL,,,INACOL,,,,,,,,,
MEDIVATION,,,MEDIVATION,,,,,,,,,
HILLS REAL ESTATE,,,HILLS REAL ESTATE,,,,,,,,,
GEORGE MASON UNIVERSITY,,,GEORGE MASON,UNIVERSITY,,,,,,,,
HOLLAND & KNIGHT,,,HOLLAND & KNIGHT,,,,,,,,,
RANDA ACCESSORIES,,,RANDA ACCESSORIES,,,,,,,,,
COMPUCOM SYSTEMS,,,COMPUCOM SYSTEMS,,,,,,,,,
FLORIDA DEMOCRATIC PARTY,,,FLORIDA DEMOCRATIC,PARTY,,,,,,,,
DREAMSTYLE REMODELING,,,DREAMSTYLE REMODELING,,,,,,,,,
INSIGHT PROPERTY GROUP LLC,,,INSIGHT PROPERTY,GROUP,,,,,LLC,,,
PARAMOUNT SOFTWARE,,,PARAMOUNT SOFTWARE,,,,,,,,,
CCPN,,,CCPN,,,,,,,,,
SHEEHAN PHINNE BASS+GREEN,,,SHEEHAN PHINNE BASS+GREEN,,,,,,,,,
KAMRAN STAFFING INC.,,,KAMRAN STAFFING,,,,,,INC.,,,
MCDERMOTT WILL & EMERY LLP,,,MCDERMOTT WILL & EMERY,,,,,,LLP,,,
KESSLER TOPAZ MELTZER & CHECK,,,KESSLER TOPAZ MELTZER & CHECK,,,,,,,,,
RICE,,,RICE,,,,,,,,,
SHERNOFF BIDART ECHEVERRIA BENTLEY,,,SHERNOFF BIDART ECHEVERRIA,BENTLEY,,,,,,,,
GOOGLE,,,GOOGLE,,,,,,,,,
KPS CAPITAL PARTNERS,,,KPS CAPITAL,PARTNERS,,,,,,,,
SABAN CAPITAL GROUP INC.,,,SABAN CAPITAL,GROUP,,,,,INC.,,,
GENDER ECONOMICS LAB,,,GENDER ECONOMICS LAB,,,,,,,,,
CLARICK GUERON REISBAUM LLP,,,CLARICK GUERON REISBAUM,,,,,,LLP,,,
FRIEDMAN,,,FRIEDMAN,,,,,,,,,
FENTON COMMUNICATIONS,,,FENTON COMMUNICATIONS,,,,,,,,,
NYC BOARD OF STANDARDS & APPEALS,,,NYC OF STANDARDS,BOARD,& APPEALS,,,,,,,
AMERICAN ACADEMY OF NURSING,,,AMERICAN ACADEMY OF NURSING,,,,,,,,,
PIERCE CAMP BIRCHMONT,,,PIERCE CAMP BIRCHMONT,,,,,,,,,
IBM,,,,,,,,,,IBM,,
TAMPA CATHOLIC HIGH SCHOOL,,,TAMPA CATHOLIC HIGH,SCHOOL,,,,,,,,
VENTURA COUNTY STAR,,,VENTURA COUNTY STAR,,,,,,,,,
ARKANSAS ECONOMIC DEVELOPMENT COMMISSI,,,ARKANSAS ECONOMIC,DEVELOPMENT COMMISSI,,,,,,,,
GUCCI,,,GUCCI,,,,,,,,,
GRUPO VL,,,GRUPO VL,,,,,,,,,
JTHG PARTNERSHIP,,,JTHG,PARTNERSHIP,,,,,,,,
TIMBER LAKE MANAGEMENT,,,TIMBER LAKE MANAGEMENT,,,,,,,,,
NETSUITE,,,NETSUITE,,,,,,,,,
SKYBRIDGE CAPITAL,,,SKYBRIDGE CAPITAL,,,,,,,,,
PATTERSON PLANNING,,,PATTERSON PLANNING,,,,,,,,,
EDUGATE,,,EDUGATE,,,,,,,,,
MANATT,,,MANATT,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
KASTY KORINS LLP,,,KASTY KORINS,,,,,,LLP,,,
DEPARTMENT OF HEALTH AND HUMAN SERVICE,,,OF HEALTH AND HUMAN SERVICE,DEPARTMENT,,,,,,,,
LASSO ENTERPRISES LLC,,,LASSO ENTERPRISES,,,,,,LLC,,,
GOLDMAN SACHS,,,GOLDMAN SACHS,,,,,,,,,
ANGIESLIST,,,ANGIESLIST,,,,,,,,,
KELLOGG,,,KELLOGG,,,,,,,,,
DEVEREUX,,,DEVEREUX,,,,,,,,,
U.S. GOVERNMENT,,,U.S. GOVERNMENT,,,,,,,,,
WILLKIE FARR & GALLAGHER LLP,,,WILLKIE FARR & GALLAGHER,,,,,,LLP,,,
RAF INDUSTRIES,,,RAF INDUSTRIES,,,,,,,,,
THE ROCK CREEK GROUP,,,THE ROCK CREEK,GROUP,,,,,,,,
BRAEBURN PHARMACEUTICALS,,,BRAEBURN PHARMACEUTICALS,,,,,,,,,
DE BERNARDO ANTONIONO MC CABE,,,DE BERNARDO ANTONIONO MC CABE,,,,,,,,,
DEBEVOISE & PLIMPTON LLP,,,DEBEVOISE & PLIMPTON,,,,,,LLP,,,
CHIPREWARDS,,,CHIPREWARDS,,,,,,,,,
SUNITI MEDICAL CORPORATION,,,SUNITI MEDICAL,CORPORATION,,,,,,,,
DISH,,,DISH,,,,,,,,,
UNIVERSITY OF CALIFORNIA,,,OF CALIFORNIA,UNIVERSITY,,,,,,,,
DELOITTE TOUCHE TOHMATSU LIMITED,,,DELOITTE TOUCHE TOHMATSU,,,,,,LIMITED,,,
MICROSOFT CORPORATION,,,MICROSOFT,CORPORATION,,,,,,,,
HK STRATEGIES,,,HK STRATEGIES,,,,,,,,,
BEACHFRONT REALTY,,,BEACHFRONT REALTY,,,,,,,,,
LEHMAN COLLEGE/CUNY,,,LEHMAN COLLEGE,CUNY,,,,,,,,
WILLIAM RAVEIS REAL ESTATE,,,WILLIAM RAVEIS REAL ESTATE,,,,,,,,,
SULLIVAN &  CROMWELL LLP,,,SULLIVAN & CROMWELL,,,,,,LLP,,,
HMS DESIGN,,,HMS DESIGN,,,,,,,,,
EXXON MOBIL CORPORATION,,,EXXON MOBIL,CORPORATION,,,,,,,,
PUBLICOLOR,,,PUBLICOLOR,,,,,,,,,
NATIONAL BASKETBALL ASSOCIATION,,,NATIONAL BASKETBALL,ASSOCIATION,,,,,,,,
DUANE MORRIS,,,DUANE MORRIS,,,,,,,,,
COUNTRY MUSIC ASSOCIATION,,,COUNTRY MUSIC,ASSOCIATION,,,,,,,,
INFINITY STRATEGIC,,,INFINITY STRATEGIC,,,,,,,,,
DUKE UNIVERSITY,,,DUKE UNIVERSITY,,,,,,,,,
THE JUNIOR STATESMEN FOUNDATION,,,THE JUNIOR STATESMEN,FOUNDATION,,,,,,,,
MINTZ GROUP,,,MINTZ,GROUP,,,,,,,,
LIFELINE MEDICAL ASSOCIATES,,,LIFELINE MEDICAL,ASSOCIATES,,,,,,,,
WARNER BROS,,,WARNER,BROS,,,,,,,,
VIRTUOSO SOURCING GROUP,,,VIRTUOSO SOURCING,GROUP,,,,,,,,
EXPRESS SCRIPTS,,,EXPRESS SCRIPTS,,,,,,,,,
VANGUARD PROPERTIES,,,VANGUARD PROPERTIES,,,,,,,,,
HOME BREW,,,HOME BREW,,,,,,,,,
DEVELOPMENT SPECIALISTS,,,DEVELOPMENT SPECIALISTS,,,,,,,,,
HARRIS,,,HARRIS,,,,,,,,,
WIZE GUYS PIZZA,,,WIZE GUYS PIZZA,,,,,,,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
NATIONAL COUNCIL OF LA RAZA,,,NATIONAL OF LA RAZA,COUNCIL,,,,,,,,
FOREST CITY ENTERPRISES,,,FOREST CITY ENTERPRISES,,,,,,,,,
WEILL CORNELL MEDICAL COLLEGE,,,WEILL CORNELL,MEDICAL COLLEGE,,,,,,,,
SIMPSON THACHER & BARTLETT LLP,,,SIMPSON THACHER & BARTLETT,,,,,,LLP,,,
BLOOMINGDALES,,,BLOOMINGDALES,,,,,,,,,
CHEMTREAT,,,CHEMTREAT,,,,,,,,,
PUTNEY INC,,,PUTNEY,,,,,,INC,,,
GIBSON DUNN & CRUTCHER LLP,,,GIBSON DUNN & CRUTCHER,,,,,,LLP,,,
THE EOP GROUP,,,THE EOP,GROUP,,,,,,,,
ANDELL INC.,,,ANDELL,,,,,,INC.,,,
MELAMED & KARP PA,,,MELAMED & KARP PA,,,,,,,,,
UTAH STATE UNIVERSITY,,,UTAH STATE,UNIVERSITY,,,,,,,,
ELLIOTT REALTY,,,ELLIOTT REALTY,,,,,,,,,
CITYBRIDGE FOUNDATION,,,CITYBRIDGE,FOUNDATION,,,,,,,,
SOG,,,SOG,,,,,,,,,
RUMBLE,,,RUMBLE,,,,,,,,,
LITO PRODUCTIONS INC.,,,LITO PRODUCTIONS,,,,,,INC.,,,
GLOBAL FUTURE CITY HOLDINGS,,,GLOBAL FUTURE CITY HOLDINGS,,,,,,,,,
YOUTH BUILD USA,,,YOUTH BUILD USA,,,,,,,,,
ARNOLD & PORTER LLP,,,ARNOLD & PORTER,,,,,,LLP,,,
BEBE,,,BEBE,,,,,,,,,
WILMERHALE,,,WILMERHALE,,,,,,,,,
STATE OF CALIFORNIA,,,STATE OF CALIFORNIA,,,,,,,,,
KILPATRICK TOWNSEND & STOCKTON,,,KILPATRICK TOWNSEND & STOCKTON,,,,,,,,,
FALLING CREEK ADVISORS/URBAN INSTITUTE,,,FALLING CREEK ADVISORS URBAN,INSTITUTE,,,,,,,,
3S ADVISORS,,,3S ADVISORS,,,,,,,,,
WILSON SONSINI GOODRICH & ROSATI,,,WILSON SONSINI GOODRICH & ROSATI,,,,,,,,,
BEN BARNES GROUP,,,BEN BARNES,GROUP,,,,,,,,
TOMMY FARRELL INC,,,TOMMY FARRELL,,,,,,INC,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
SCHNADER HARRISON SEGAL & LEWIS LLP,,,SCHNADER HARRISON SEGAL & LEWIS,,,,,,LLP,,,
YALE UNIVERSITY,,,YALE,UNIVERSITY,,,,,,,,
GENSLER,,,GENSLER,,,,,,,,,
AT&T,,,AT & T,,,,,,,,,
CITIGROUP,,,,CITIGROUP,,,,,,,,
KRAMER LEVIN NAFTALIS & FRANKEL LLP,,,KRAMER LEVIN NAFTALIS & FRANKEL,,,,,,LLP,,,
UNIVERSITY OF CALIFORNIA,,,OF CALIFORNIA,UNIVERSITY,,,,,,,,
FIRST DATA CORPORATION,,,FIRST DATA,CORPORATION,,,,,,,,
CLASSIC WINES,,,CLASSIC WINES,,,,,,,,,
BUSINESS OWNER,,,BUSINESS OWNER,,,,,,,,,
MIT,,,MIT,,,,,,,,,
BERKLEE COLLEGE OF MUSIC,,,BERKLEE OF MUSIC,COLLEGE,,,,,,,,
THE BETSY HOTEL,,,THE BETSY HOTEL,,,,,,,,,
U.S. HOUSE OF REPRESENTATIVES,,,U.S. HOUSE OF REPRESENTATIVES,,,,,,,,,
ATLANTIC SERVICES GROUP,,,ATLANTIC SERVICES,GROUP,,,,,,,,
SNOWSHOE PETROLEUM INC,,,SNOWSHOE PETROLEUM,,,,,,INC,,,
MORGAN LEWIS & BOCKIUS LLP,,,MORGAN LEWIS & BOCKIUS,,,,,,LLP,,,
BURTON SNOWBOARDS,,,BURTON SNOWBOARDS,,,,,,,,,
KURZ SOLUTIONS INC.,,,KURZ SOLUTIONS,,,,,,INC.,,,
THE SOULARD SCHOOL,,,THE SOULARD SCHOOL,,,,,,,,,
MAESTRO CARES,,,MAESTRO CARES,,,,,,,,,
CENTERBRIDGE PARTNER,,,,CENTERBRIDGE PARTNER,,,,,,,,
BROWN & BROWN,,,BROWN & BROWN,,,,,,,,,
WOMACK CHIROPRACTIC CENTER,,,WOMACK CHIROPRACTIC,CENTER,,,,,,,,
U.S. PEACE CORPS,,,U.S. PEACE CORPS,,,,,,,,,
ROGER WILLIAMS UNIVERSITY,,,ROGER WILLIAMS UNIVERSITY,,,,,,,,,
LGN13,,,LGN13,,,,,,,,,
MARKQUEST,,,MARKQUEST,,,,,,,,,
U.S. DEPARTMENT OF JUSTICE,,,U.S. DEPARTMENT OF JUSTICE,,,,,,,,,
ORYX PARTNERS LLC,,,ORYX,PARTNERS,,,,,LLC,,,
MORGAN & MORGAN,,,MORGAN & MORGAN,,,,,,,,,
STATE OF OHIO,,,STATE OF OHIO,,,,,,,,,
CALIFORNIA ENERGY COMMISSION,,,CALIFORNIA ENERGY COMMISSION,,,,,,,,,
CHOUEST LAW FIRM,,,CHOUEST,LAW FIRM,,,,,,,,
COMMUNITY HEALTH OF SOUTH FLORIDA,,,COMMUNITY HEALTH OF SOUTH FLORIDA,,,,,,,,,
SWEET POTATO PIE INC,,,SWEET POTATO PIE,,,,,,INC,,,
CONGRESSIONAL HISPANIC CAUCUS INSTITUT,,,CONGRESSIONAL HISPANIC CAUCUS INSTITUT,,,,,,,,,
PEW CHARITABLE TRUSTS,,,PEW CHARITABLE TRUSTS,,,,,,,,,
BENJAMIN MAINTENANCE,,,BENJAMIN MAINTENANCE,,,,,,,,,
SERIAL BOX PUBLISHING,,,SERIAL BOX PUBLISHING,,,,,,,,,
YGRENE ENERGY FUND,,,YGRENE,,,,,ENERGY FUND,,,,
STINSON LEONARD STREET LLP,,,STINSON LEONARD STREET,,,,,,LLP,,,
KELLOGG HUBER HANSEN TODD EVANS & FIGE,,,KELLOGG HUBER HANSEN TODD EVANS & FIGE,,,,,,,,,
CHAFFFETZ LINDSEY LLP,,,CHAFFFETZ LINDSEY,,,,,,LLP,,,
ELEVATE,,,ELEVATE,,,,,,,,,
ART ECINENA INC,,,ART ECINENA,,,,,,INC,,,
SKADDEN ARPS SLATE MEAGHER & FLOM LLP,,,SKADDEN ARPS SLATE MEAGHER & FLOM,,,,,,LLP,,,
EQUITY RESIDENTIAL,,,EQUITY RESIDENTIAL,,,,,,,,,
PR PARTNERS,,,PR,PARTNERS,,,,,,,,
KOPLOVITZ & CO,,,KOPLOVITZ,,& CO,,,,,,,
SEADREAM YACHT CLUB,,,SEADREAM YACHT CLUB,,,,,,,,,
DIVERSIFIED SEARCH,,,DIVERSIFIED SEARCH,,,,,,,,,
GLOBAL DEMOCRATIC PAC,,,GLOBAL DEMOCRATIC,,,,,PAC,,,,
STARK & STARK,,,STARK & STARK,,,,,,,,,
MUNGER,,,MUNGER,,,,,,,,,
HAWTHORNE MOTORS EXP,,,HAWTHORNE MOTORS EXP,,,,,,,,,
REHABILITATION INSTITUTE OF CHICAGO,,,OF CHICAGO,REHABILITATION INSTITUTE,,,,,,,,
SOAR,,,SOAR,,,,,,,,,
MCGUIREWOODS CONSULTING,,,MCGUIREWOODS CONSULTING,,,,,,,,,
NEWPORT BOARD GROUP,,,NEWPORT BOARD,GROUP,,,,,,,,
MILLER SABINO & LEE,,,MILLER SABINO,,& LEE,,,,,,,
THE MEDICI PORTFOLIO LLC,,,THE MEDICI PORTFOLIO,,,,,,LLC,,,
BLACKSTONE,,,BLACKSTONE,,,,,,,,,
JIM HENSON COMPANY,,,JIM HENSON,COMPANY,,,,,,,,
ARNOLD & PORTER LLP,,,ARNOLD & PORTER,,,,,,LLP,,,
LAIDLAW & COMPANY (UK) LTD.,,,LAIDLAW,,& COMPANY (UK),,,,LTD.,,,
WHEATON COLLEGE,,,WHEATON COLLEGE,,,,,,,,,
PROVOST UMPHREY LAW FIRM,,,PROVOST UMPHREY,LAW FIRM,,,,,,,,
CORVIAS GROUP,,,CORVIAS,GROUP,,,,,,,,
INTUIT,,,INTUIT,,,,,,,,,
BRISTOL AUTOMOTIVE,,,BRISTOL AUTOMOTIVE,,,,,,,,,
METLIFE,,,METLIFE,,,,,,,,,
JACKOWAY TYERMAN,,,JACKOWAY TYERMAN,,,,,,,,,
BARNARD COLLEGE,,,BARNARD COLLEGE,,,,,,,,,
UNIVERSITY MEDICAL CENTER PHOENIX,,,UNIVERSITY MEDICAL CENTER PHOENIX,,,,,,,,,
UC BERKELEY,,,UC BERKELEY,,,,,,,,,
